DateTime,CO(GT),PT08.S1(CO),NMHC(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,C6H6(GT)
2025-01-01 00:00:00,2.4196420092278537,1168.5837913303656,84.8330751559939,822.5143100442264,260.12444177832094,798.9107750493703,113.52404120371348,1533.0254015238277,1134.589283362819,15.909349140081464,50.65463235430746,0.7212993609644387,12.423425199026054
2025-01-01 01:00:00,1.585916063898682,1113.7667240334447,228.9486905707303,,218.47059113974893,907.4086815986622,135.14959017098306,1501.239433068731,1111.1701662644832,16.965711606049563,44.82637300114981,1.0812669296352926,14.140313121072772
2025-01-01 02:00:00,2.35145585129456,1088.339704211972,156.01955255285213,963.5925911812408,261.4812827754789,906.2327944512488,126.27545698458898,1459.5443779951484,1101.878597313927,24.437853866787,62.55586558983217,1.1290823875345646,
2025-01-01 03:00:00,1.9673264753685409,1003.8167184131156,198.23021417831868,980.058806503944,334.6163953102422,752.4233235949162,131.524741127518,1514.7955322283312,1030.210390898574,19.260476445153564,47.41013472212982,0.8687714788217706,10.093573112409793
2025-01-01 04:00:00,2.2183996484324493,1160.8065181986085,251.3277877031988,1037.291983739179,269.5581076677582,,140.40177438432525,1665.8804040987368,970.180320397644,14.696062425906746,49.83981144078226,0.838196888517774,9.661986669523351
2025-01-01 05:00:00,2.229563358304097,1114.3204436862352,302.8368538640214,1080.5472722913582,293.09474589482375,747.3592818215685,112.55121568164591,,959.1170485602878,20.80525375560074,50.39154261902117,0.9690576407125594,11.757518396667244
2025-01-01 06:00:00,2.447075805038179,1034.1238157270243,262.1574232679632,959.1102828823018,328.7416543136522,788.8661208160053,107.10385476237772,1424.410187401788,901.0153511813228,19.05131813024046,56.36214654786023,1.014493022609769,9.98588944943519
2025-01-01 07:00:00,2.388335491366713,1083.552603663705,,1011.8126056616206,,763.4771079901811,128.44168400868753,1661.0332927860147,969.7865650329682,19.91925831893085,,1.2012700619368455,7.587027822483651
2025-01-01 08:00:00,1.492455891017055,1112.7785709843902,292.885446304163,1025.273402904406,303.89981210066674,887.1339450319906,142.0244701284957,1473.6407102506378,1103.134680242064,15.641426082337585,47.170208627753794,0.9758974007935416,10.663130980966445
2025-01-01 09:00:00,2.4639615595113464,1179.0289830339666,190.4621223110499,933.9514033368772,208.2091464623703,780.5615312055787,160.32225322349217,1465.5829671398149,924.2612558752594,21.688356746542475,,1.0401852109776453,12.687483454018825
2025-01-01 10:00:00,1.6464285077378706,987.8880409231298,234.682359008238,941.5090025179628,269.2864431686252,826.5482782071988,117.20027840604126,1555.2608079799604,1071.996324098409,18.69347484169908,50.01131189395051,1.0478214773058057,13.682174978125271
2025-01-01 11:00:00,2.5161008021504,1210.5064420607544,271.18296285159204,1075.9776998000216,357.1617502049372,918.02424600305,126.26027416796596,1510.9799040668347,992.13214345118,15.48537803522566,57.55184324758864,1.1085066769136314,11.942579861190808
2025-01-01 12:00:00,2.5152036251915426,1170.7542794673354,219.1650057894909,1081.7172039352647,281.4457821082509,817.1012917925951,99.36547058395196,1297.6211832295382,1030.0857939755904,18.51036324120428,,1.004575405436511,7.572101923935107
