DateTime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16
2025-01-01 00:00:00,2.4196420092278537,1168.5837913303656,84.8330751559939,12.423425199026054,822.5143100442264,260.12444177832094,798.9107750493703,113.52404120371347,1533.0254015238277,1134.589283362819,15.909349140081465,50.65463235430746,0.7212993609644387,,
2025-01-01 01:00:00,1.585916063898682,1113.7667240334447,228.9486905707303,14.140313121072772,,218.47059113974893,907.4086815986622,135.14959017098306,1501.239433068731,1111.1701662644832,16.965711606049563,44.826373001149804,1.0812669296352926,,
2025-01-01 02:00:00,2.3514558512945594,1088.339704211972,156.01955255285213,,963.5925911812409,261.4812827754789,906.2327944512489,126.27545698458898,1459.5443779951484,1101.878597313927,24.437853866787,62.55586558983217,1.1290823875345646,,
2025-01-01 03:00:00,1.9673264753685409,1003.8167184131156,198.23021417831868,10.093573112409793,980.058806503944,334.6163953102422,752.4233235949162,131.524741127518,1514.7955322283312,1030.210390898574,19.260476445153564,47.41013472212982,0.8687714788217706,,
2025-01-01 04:00:00,2.2183996484324493,1160.8065181986083,251.32778770319882,9.661986669523353,1037.291983739179,269.5581076677582,,140.40177438432525,1665.8804040987368,970.1803203976441,14.696062425906746,49.83981144078226,0.838196888517774,,
2025-01-01 05:00:00,2.2295633583040972,1114.3204436862352,302.8368538640214,11.757518396667244,1080.5472722913582,293.09474589482375,747.3592818215685,112.55121568164593,,959.1170485602878,20.80525375560074,50.39154261902117,0.9690576407125594,,
2025-01-01 06:00:00,2.447075805038179,1034.1238157270245,262.1574232679632,9.98588944943519,959.1102828823018,328.7416543136522,788.8661208160053,107.10385476237772,1424.4101874017879,901.0153511813227,19.05131813024046,56.36214654786023,1.014493022609769,,
2025-01-01 07:00:00,2.388335491366713,1083.552603663705,,7.587027822483651,1011.8126056616206,,763.4771079901811,128.44168400868753,1661.0332927860147,969.7865650329682,19.91925831893085,,1.2012700619368455,,
2025-01-01 08:00:00,1.492455891017055,1112.7785709843902,292.885446304163,10.663130980966445,1025.273402904406,303.89981210066674,887.1339450319906,142.0244701284957,1473.6407102506378,1103.134680242064,15.641426082337585,47.170208627753794,0.9758974007935417,,
2025-01-01 09:00:00,2.4639615595113464,1179.0289830339666,190.4621223110499,12.687483454018825,933.9514033368773,208.2091464623703,780.5615312055787,160.32225322349217,1465.5829671398149,924.2612558752594,21.688356746542475,,1.0401852109776453,,
